PoiID,Lon,Lat,FirstLevel,SecondLeve,ZoneID,index
34223969,6.7316441,51.2968385,0,0,22,0
34914585,6.7291917,51.2958212,0,0,22,1
34992544,6.7264845,51.2822995,1,1,24,2
34995664,6.7401394,51.2930921,1,2,22,3
34995665,6.7413743,51.2969104,1,2,22,4
35962204,6.7133569,51.2754405,0,0,24,5
35962205,6.7131259,51.2750302,0,0,25,6
36733465,6.7524945,51.3027947,0,0,23,7
36746052,6.730866,51.2807784,2,3,24,8
36755634,6.7764764,51.2615587,3,4,2,9
52719317,6.7777182,51.3130082,0,0,21,10
52777170,6.7587376,51.3057834,0,0,23,11
60786298,6.7948539,51.1884273,1,5,9,12
60835404,6.794517,51.1888062,4,6,9,13
60857931,6.7769242,51.2145258,1,7,11,14
133067690,6.7840491,51.2123437,0,0,11,15
205213368,6.8455691,51.2629092,1,8,29,16
206130940,6.855417,51.2587241,0,0,29,17
206130941,6.8539384,51.246867,0,0,34,18
206131051,6.8743742,51.2551835,1,1,34,19
206316677,6.8419855,51.2380497,0,0,31,20
206316678,6.8420512,51.2379561,1,8,31,21
224171746,6.8372505,51.24156,1,8,34,22
224171873,6.8242693,51.2516483,0,0,29,23
240270711,6.7854688,51.2211261,5,9,5,24
240270723,6.7874644,51.2217435,1,10,5,25
240270745,6.7879559,51.2212639,1,11,5,26
240270787,6.7872934,51.2194549,1,12,5,27
240270802,6.7870154,51.2218969,1,1,5,28
240271018,6.78482,51.2194795,5,9,5,29
240271184,6.7869771,51.2216682,1,13,5,30
240271221,6.7850037,51.2204476,1,14,5,31
240271314,6.7860575,51.221161,6,15,5,32
240271471,6.7870237,51.2198043,1,1,5,33
240271505,6.7876431,51.2216835,1,16,5,34
240271532,6.7878892,51.2213379,1,11,5,35
240271562,6.7934694,51.2246818,5,9,5,36
240271640,6.7880133,51.2247115,1,12,5,37
240271691,6.7944895,51.2218251,1,11,5,38
240271720,6.7940044,51.2213042,1,13,5,39
240271909,6.7845916,51.2205684,1,1,5,40
240271995,6.7871423,51.221606,1,11,5,41
240272033,6.7851204,51.2193225,1,1,5,42
240272378,6.787179,51.2218397,1,1,5,43
240272516,6.7933193,51.2238417,3,4,5,44
240272627,6.7890655,51.2283124,1,17,4,45
240272656,6.7931098,51.2247884,5,9,5,46
240272663,6.7865451,51.2220759,1,18,5,47
240272673,6.7853536,51.2215689,1,11,5,48
240272790,6.7859605,51.219155,1,1,5,49
240272802,6.7878634,51.2265149,3,4,5,50
240272811,6.7877105,51.2213884,5,9,5,51
240272821,6.7835052,51.2212642,1,19,5,52
240272828,6.7851729,51.2195606,5,9,5,53
240272873,6.784936,51.2210627,5,9,5,54
240272896,6.787331,51.2217902,1,10,5,55
240272903,6.7845549,51.2209201,5,9,5,56
240272917,6.7879352,51.2213011,1,1,5,57
240272931,6.79267,51.225414,5,9,5,58
240272936,6.7866959,51.220213,1,11,5,59
240272938,6.7866794,51.2220237,1,11,5,60
240272942,6.7933001,51.2236018,5,9,5,61
240272944,6.7856817,51.2192775,1,1,5,62
240272946,6.7902189,51.2233428,1,1,5,63
240272955,6.7870455,51.2263209,7,20,5,64
240272957,6.7863539,51.2219204,1,1,5,65
240272966,6.7848082,51.2197685,5,9,5,66
240284512,6.9066758,51.1395199,3,4,47,67
241429051,6.7867313,51.2234506,5,9,5,68
241429052,6.7867367,51.2232684,1,12,5,69
241429055,6.7855193,51.2240383,5,9,5,70
241429058,6.7933051,51.2217498,1,12,5,71
241429072,6.7845919,51.2190136,5,9,5,72
241429075,6.7844947,51.2186583,1,21,11,73
241429078,6.7845536,51.2187133,1,14,11,74
241429080,6.7846521,51.2187164,1,12,11,75
241429086,6.7859165,51.2184562,5,9,11,76
241429088,6.7835988,51.2183389,1,1,11,77
241429090,6.785847,51.2178259,5,9,11,78
241429094,6.7877283,51.2177256,8,22,11,79
241429099,6.7883506,51.2178972,1,11,11,80
241429149,6.7939419,51.2211929,1,21,5,81
241429154,6.7985721,51.2205344,5,9,14,82
241429160,6.7989383,51.2210854,3,4,14,83
241429162,6.7893706,51.2247176,1,21,5,84
241782935,6.8068442,51.2295353,1,16,7,85
241782948,6.7961786,51.2241282,1,12,5,86
241782962,6.7947845,51.2127552,1,12,14,87
241782967,6.8148521,51.2282977,1,11,7,88
241782971,6.80274,51.2285585,1,2,7,89
241782987,6.8144626,51.2281731,1,5,7,90
241782990,6.8061947,51.2294102,1,12,7,91
241783024,6.8138018,51.2284568,1,13,7,92
241783028,6.801057,51.2305925,1,12,6,93
241783051,6.8245105,51.2403177,8,23,32,94
241783097,6.8079345,51.2299559,1,1,7,95
241783106,6.7989614,51.2287535,5,9,7,96
241783146,6.8071858,51.2296726,1,13,7,97
241783152,6.7981737,51.2297088,1,12,7,98
241783162,6.7982094,51.2297178,3,4,7,99
241783175,6.8018922,51.2277064,1,16,7,100
241783187,6.8267651,51.24167,8,22,32,101
241783214,6.8078232,51.2296733,9,24,7,102
241783225,6.8006933,51.2270802,8,22,7,103
241783240,6.8006155,51.2270261,1,11,7,104
241783279,6.7985806,51.2316049,8,22,6,105
241783292,6.7990618,51.2285738,10,25,7,106
241783293,6.8010764,51.2275508,1,11,7,107
241783310,6.7994595,51.2299825,1,16,7,108
241783377,6.8169681,51.2336606,1,12,7,109
241783391,6.8143475,51.2282799,1,17,7,110
241783407,6.8012049,51.2272946,8,22,7,111
241783445,6.8141815,51.2282582,1,16,7,112
241783449,6.8063334,51.2296439,8,23,7,113
241785985,6.8126814,51.2129975,1,13,8,114
241785988,6.8149754,51.2159919,1,12,8,115
241788437,6.7991757,51.2286258,1,14,7,116
241789914,6.8112497,51.2281574,8,22,7,117
241790935,6.8052834,51.2275695,5,9,7,118
241790936,6.8048736,51.2276678,1,11,7,119
241790937,6.8039554,51.2283977,1,11,7,120
241793030,6.7951451,51.2238368,11,26,5,121
241793031,6.7961565,51.2235133,1,13,5,122
241793032,6.7958795,51.2235273,8,23,5,123
241793034,6.7953104,51.2238929,1,13,5,124
241793428,6.7966142,51.2237642,1,11,5,125
241793429,6.7953032,51.2234889,1,1,5,126
241793430,6.7951929,51.2232537,1,13,5,127
241793431,6.7951313,51.2231675,1,13,5,128
241793432,6.7950585,51.2230835,1,13,5,129
241794073,6.7962303,51.2244642,5,9,5,130
241794076,6.7961707,51.2243242,1,10,5,131
241794589,6.7957816,51.2248446,1,16,5,132
241794590,6.7960622,51.2245233,1,14,5,133
241796858,6.7998774,51.2162682,1,11,14,134
241796859,6.7997749,51.2159845,1,11,14,135
241872786,6.7962976,51.2246618,1,13,5,136
241873118,6.7962488,51.2241902,8,22,5,137
241873119,6.795328,51.2244912,1,11,5,138
241873120,6.7965449,51.2254351,5,9,5,139
241873123,6.7999777,51.2267128,1,18,7,140
241875521,6.7941535,51.2263401,8,22,5,141
241875522,6.7947863,51.2257348,12,27,5,142
