ZoneID,population
0,0
1,2012
2,11616
3,5402
4,3543
5,3418
6,7934
7,7811
8,6969
9,2488
10,4518
11,4630
12,3609
13,4816
14,6819
15,4663
16,3035
17,2989
18,8372
19,6458
20,7012
21,2696
22,3513
23,3000
24,3092
25,7036
26,3743
27,5090
28,7523
29,4158
30,1093
31,2644
32,4777
33,5223
34,3808
35,4909
36,4564
37,1956
38,4281
39,5109
40,5707
41,5494
42,6707
43,6721
44,3684
45,12341
46,5547
47,7706
48,2799
49,4550
50,4865
51,5851
52,9358
53,6180
54,5698
55,4000
56,2921
57,6192
58,9109
59,4442
60,5906
61,7853
62,3414
63,3853
64,1985
65,4853
66,5347
67,6510
68,8852
69,5957
70,8830
71,7362
72,1866
73,9325
74,109
75,3892
76,608
77,5071
78,8078
79,2093
80,3848
81,2380
82,2170
83,2596
84,283
85,4095
86,983
87,8256
88,5489
89,3297
90,3805
91,407
92,7671
93,6138
94,1233
95,500
96,1420
97,216
98,1361
99,2620
100,3863
101,9688
102,1666
103,3905
104,3408
105,5236
106,3425
107,2901
108,7437
109,6400
110,7282
111,6545
112,3911
113,3962
114,3146
115,4237
116,3747
117,6782
118,11882
119,1962
120,5070
121,4387
122,5057
123,13109
124,8050
125,4463
126,129
127,4481
128,9061
129,2987
130,3221
131,7494
132,6351
133,2321
134,5642
135,3756
136,7730
137,6032
138,5189
139,4503
140,5738
141,5091
142,5568
143,2154
144,11197
145,3628
146,5600
147,4516
148,3852
149,3607
150,6617
151,9033
152,7371
153,6659
154,7012
155,4964
156,8526
157,7991
158,9694
159,3447
160,5441
161,8699
162,5449
163,2276
164,11110
165,3035
166,9382
167,9103
168,7429
169,8941
170,7675
171,8534
172,7820
173,5127
174,9383
175,5255
176,5697
177,3679
178,3971
179,8736
180,6978
181,7828
182,4031
183,1278
184,2601
185,2370
186,9598
187,2855
188,4077
189,5023
190,3665
191,10529
192,5583
193,3075
194,3856
195,7039
196,8567
197,545
198,6530
199,6114
200,2382
201,3293
202,7258
203,7346
204,9895
205,4890
206,5961
207,9111
208,3299
209,6273
210,8061
211,5112
212,2206
213,9907
214,6792
215,4791
216,3691
217,3625
218,7612
219,4448
220,3993
221,13385
222,8594
223,3772
224,4779
225,1732
226,6521
227,1084
228,2287
229,10081
230,5697
231,4270
232,2965
233,10733
234,7969
235,6850
236,2083
237,7848
238,1683
239,7623
240,6519
241,3063
242,3108
243,10509
244,8035
245,5795
246,2292
247,1613
248,0
249,5007
250,4584
251,1464
252,4742
253,6
254,5442
255,3080
256,4995
257,340
258,6345
259,1739
260,6146
261,7201
262,5883
263,4642
264,2863
265,1976
266,4184
267,4960
268,6518
269,4371
270,6804
271,4485
272,2577
273,3444
274,6769
275,19
276,3000
277,4186
278,6251
279,6893
280,3419
281,6122
282,6964
283,5021
284,2789
285,6291
286,4205
287,3536
288,6749
289,5682
290,1974
291,7037
292,6826
293,2587
294,5894
295,4145
296,5976
297,6271
298,2946
299,5903
300,0
301,1554
302,0
303,5324
304,5703
305,3319
306,1908
307,1616
308,4139
309,4923
310,1198
311,5390
312,6652
313,6064
314,4001
315,3060
316,7344
317,6046
318,4723
319,5957
320,2593
321,4258
322,2891
323,5542
324,1442
325,4003
326,5243
327,34
328,1221
329,1097
330,2625
331,5124
332,10
333,6395
334,6988
335,4754
336,4979
337,5510
338,4423
339,3686
340,4329
341,6442
342,8360
343,2022
344,7509
345,7213
346,7909
347,2789
348,3129
349,3277
350,4823
351,8946
352,7855
353,5822
354,4701
355,1264
356,5830
357,4078
358,6360
359,3953
360,6237
361,5006
362,6610
363,1176
364,2511
365,4001
366,5457
367,5063
368,2787
369,3275
370,4489
371,8141
372,5669
373,3347
374,1634
375,1699
376,6336
377,5766
378,3401
379,3001
380,3974
381,4577
382,3574
383,2204
384,3970
385,8213
386,6331
